timestamp,frame_idx,location_bbox,detected_condition,confidence_score,risk_level
00:00:06,120,"[185, 182, 135, 26]",Spatio-Temporal Crowd Motion Outlier,0.2966,HIGH RISK
00:00:06,130,"[243, 173, 77, 42]",Spatio-Temporal Crowd Motion Outlier,0.2994,HIGH RISK
00:00:07,140,"[83, 174, 40, 26]",Spatio-Temporal Crowd Motion Outlier,0.3007,HIGH RISK
00:00:07,150,"[82, 174, 57, 35]",Spatio-Temporal Crowd Motion Outlier,0.2940,HIGH RISK
00:00:08,160,"[126, 171, 67, 38]",Spatio-Temporal Crowd Motion Outlier,0.3020,HIGH RISK
00:00:08,170,"[121, 177, 41, 27]",Spatio-Temporal Crowd Motion Outlier,0.2907,HIGH RISK
00:00:09,180,"[165, 173, 44, 35]",Spatio-Temporal Crowd Motion Outlier,0.3038,HIGH RISK
00:00:09,190,"[293, 177, 27, 21]",Spatio-Temporal Crowd Motion Outlier,0.2962,HIGH RISK
00:00:10,200,"[202, 179, 32, 27]",Spatio-Temporal Crowd Motion Outlier,0.3010,HIGH RISK
00:00:10,210,"[0, 180, 41, 31]",Spatio-Temporal Crowd Motion Outlier,0.3029,HIGH RISK
00:00:11,220,"[238, 184, 42, 29]",Spatio-Temporal Crowd Motion Outlier,0.2947,HIGH RISK
00:00:11,230,"[275, 178, 45, 34]",Spatio-Temporal Crowd Motion Outlier,0.3048,HIGH RISK
